koryakov_bd_id,lang_1_K,eng_vil_name,rus_vil_name,rus_vil_name_mdg,census_1885,census_1895,census_1926,census_2010,Lat,Lon,lang_1_S,elevation
405,Karata,Karata,Карата,Карата,960,948,1262,4154,425942,463419,Karata,146363
407,Karata,Rachabulda,Рачабулда,Рачабулда,100,90,145,168,42617256,46300014,Karata,130750
409,Avar,Kizhani,Кижани,Кижани,309,314,309,345,4274031,46364775,Avar,151536
411,Avar,Kilyatl',Килятль,Килятль,581,519,637,1034,42704637,46466046,Avar,94868
413,Bagvalal,Kvanada,Кванада,Кванада,846,830,996,1389,42561478,4617397,Bagvalal,163552
415,Andi,Kvankhidatli,Кванхидатли,Кванхидатли,546,419,420,921,4265789,46271742,Andi,71497
417,Akhvakh,Kudiyabroso,Кудиябросо,Кудиябросо,708,700,367,2233,42541069,46377932,Akhvakh,156652
419,Akhvakh,,Гоштада,Гоштада,,,90,,,,,
421,Akhvakh,,Дамиг,Дамиг,,,76,,,,,
423,Akhvakh,,Саминг,Саминг,,,92,,,,,
425,Akhvakh,,разв. Тунситль,разв. Тунситль,,,149,,,,,
427,Akhvakh,,Хвадо-Кало,Хвадо-Кало,,,55,,,,,
429,Akhvakh,,Шама,Шама,,,44,,,,,
431,Akhvakh,,Шушу-Кари,Шушу-Кари,,,32,,,,,
433,Avar,Mesterukh,Местерух,Местерух,492,504,585,1009,425747,463964,Avar,155097
435,Avar,Mekhel'ta,Мехельта,Мехельта,1873,10171,1919,3309,42798277,46497361,Avar,148786
437,Botlikh,Miarso,Миарсо,Миарсо,278,282,276,1714,42654059,46175643,Botlikh,82515
439,Andi,Muni,Муни,Муни,911,748,586,3220,42680242,46308874,Andi,71458
441,Avar,Ortakolo,Ортаколо,Ортаколо,162,137,80,598,4267057,4638882,Avar,65172
443,Andi,Rushukha,Рушуха,Рушуха,,,47,58,4271509,4628112,Andi,167790
445,Karata,Ratsitl',Рацитль,Рацитль,343,360,362,112,4263788,4633455,Karata,189368
447,Andi,Rikvani,Риквани,Риквани,687,770,836,769,42782304,46319372,Andi,187455
449,Karata,Staryy Sivukh,Старый Сивух,Старый Сивух,802,882,772,,4280278,4643694,Avar,187459
451,Akhvakh,Tad-Magitl',Тад-Магитль,Тад-Магитль,735,331,295,1203,42550266,46348953,Akhvakh,144390
453,Akhvakh,Kvankero,Кванкеро,Кванкеро,,496,205,369,4255244,463404,Akhvakh,135934
455,Akhvakh,,Куитли,Куитли,,,201,,,,,
457,Akhvakh,,Мазаетлох,Мазаетлох,,,51,,,,,
459,Akhvakh,,Чакидири,Чакидири,,,36,,,,,
461,Akhvakh,,Чанди,Чанди,,,112,,,,,
463,Akhvakh,,Чухотль,Чухотль,,,47,,,,,
465,Avar,Tando,Тандо,Тандо,571,564,653,641,42707696,46175693,Avar,145221
467,Avar,Tasuta,Тасута,Тасута,240,275,347,369,4271731,4622568,Avar,161482
469,Avar,,Анхо,Анхо,,,30,,,,,
471,Tindi,Tindi,Тинди,Тинди,1678,2050,386,2309,42454716,4613469,Tindi,148901
473,Tindi,,Анисучи,Анисучи,,,8,,,,,
475,Tindi,,Анхи,Анхи,,,29,,,,,
477,Tindi,,коч. Анцуда,коч. Анцуда,,,19,,,,,
479,Tindi,,Ачилобачи,Ачилобачи,,,37,,,,,
481,Tindi,,? Бехвалутчи/Бехахутли,? Бехвалутчи/Бехахутли,,,45,26,,,,
483,Tindi,,Бичичи,Бичичи,,,98,,,,,
485,Tindi,,Гагичи,Гагичи,,,10,,,,,
487,Tindi,Gadaychi,Гадайчи,Гадайчи,,,73,210,42470059,46070951,Tindi,105209
489,Tindi,,Ганга,Ганга,,,36,,,,,
491,Tindi,,Гачитль,Гачитль,,,31,,,,,
493,Tindi,Gvanachi,Гвиначи,Гвиначи,,,141,45,424606005,461622609,Tindi,196569
495,Tindi,,Италт,Италт,,,7,,,,,
497,Tindi,,Ичидары,Ичидары,,,8,,,,,
499,Tindi,,Качак,Качак,,,8,,,,,
501,Tindi,,Койны,Койны,,,18,,,,,
503,Tindi,,Косачи,Косачи,,,52,,,,,
505,Tindi,,Мулла,Мулла,,,116,,,,,
507,Tindi,,Мусаря,Мусаря,,,76,,,,,
